time latitude longitude
2012-07-03 14:30:26 043.05040167 -070.14624667
2012-07-03 14:30:27 043.05040167 -070.14624667
2012-07-03 14:30:28 043.05040167 -070.14624833
2012-07-03 14:30:29 043.05040167 -070.14624667
2012-07-03 14:30:30 043.05040167 -070.14624333
2012-07-03 14:30:31 043.05040167 -070.14624500
2012-07-03 14:30:32 043.05040167 -070.14624333
2012-07-03 14:30:33 043.05040167 -070.14623833
2012-07-03 14:30:34 043.05040167 -070.14623833
2012-07-03 14:30:35 043.05040167 -070.14624000
2012-07-03 14:30:36 043.05040167 -070.14623833
2012-07-03 14:30:37 043.05039833 -070.14623500
2012-07-03 14:30:38 043.05040000 -070.14623667
2012-07-03 14:30:39 043.05040000 -070.14623500
2012-07-03 14:30:40 043.05040167 -070.14623000
2012-07-03 14:30:41 043.05040000 -070.14623167
2012-07-03 14:30:42 043.05040000 -070.14623167
2012-07-03 14:30:43 043.05040000 -070.14623000
2012-07-03 14:30:44 043.05039833 -070.14622667
2012-07-03 14:30:45 043.05040000 -070.14623000
2012-07-03 14:30:46 043.05040000 -070.14622667
2012-07-03 14:30:47 043.05039833 -070.14621833
2012-07-03 14:30:48 043.05039833 -070.14622167
2012-07-03 14:30:49 043.05039833 -070.14622167
2012-07-03 14:30:50 043.05039833 -070.14621833
2012-07-03 14:30:51 043.05039833 -070.14621833
2012-07-03 14:30:52 043.05039833 -070.14622000
2012-07-03 14:30:53 043.05039667 -070.14621667
2012-07-03 14:30:54 043.05039500 -070.14621167
2012-07-03 14:30:55 043.05039500 -070.14621333
2012-07-03 14:30:56 043.05039500 -070.14621167
2012-07-03 14:30:57 043.05039333 -070.14621000
2012-07-03 14:30:58 043.05039333 -070.14621000
2012-07-03 14:30:59 043.05039333 -070.14620833
2012-07-03 14:31:00 043.05039167 -070.14620333
2012-07-03 14:31:01 043.05039000 -070.14620333
2012-07-03 14:31:02 043.05039000 -070.14620000
2012-07-03 14:31:03 043.05038833 -070.14620167
2012-07-03 14:31:04 043.05038833 -070.14620167
2012-07-03 14:31:05 043.05038833 -070.14619833
2012-07-03 14:31:06 043.05038667 -070.14619500
2012-07-03 14:31:07 043.05038500 -070.14619667
2012-07-03 14:31:08 043.05038500 -070.14619333
2012-07-03 14:31:09 043.05038333 -070.14618667
2012-07-03 14:31:10 043.05038333 -070.14619000
2012-07-03 14:31:11 043.05038333 -070.14619000
2012-07-03 14:31:12 043.05038167 -070.14618500
2012-07-03 14:31:13 043.05038167 -070.14618667
2012-07-03 14:31:14 043.05038167 -070.14618667
2012-07-03 14:31:15 043.05037833 -070.14618000
2012-07-03 14:31:16 043.05037667 -070.14617667
2012-07-03 14:31:17 043.05037500 -070.14617667
2012-07-03 14:31:18 043.05037500 -070.14617833
2012-07-03 14:31:19 043.05037500 -070.14617500
2012-07-03 14:31:20 043.05037500 -070.14617333
2012-07-03 14:31:21 043.05037500 -070.14617833
2012-07-03 14:31:22 043.05037500 -070.14617333
2012-07-03 14:31:23 043.05037167 -070.14616667
